CALENDAR_YEAR,LOCATION_ID,VETERANCOUNTS
2017,All,16692
2017,CA-500,1040
2017,CA-501,585
2017,CA-502,536
2017,CA-503,841
2017,CA-504,277
2017,CA-505,410
2017,CA-506,266
2017,CA-507,99
2017,CA-508,263
2017,CA-509,89
2017,CA-510,256
2017,CA-511,326
2017,CA-512,308
2017,CA-513,197
2017,CA-514,517
2017,CA-515,102
2017,CA-516,*
2017,CA-517,52
2017,CA-518,185
2017,CA-519,90
2017,CA-520,93
2017,CA-521,30
2017,CA-522,174
2017,CA-523,*
2017,CA-524,*
2017,CA-525,17
2017,CA-526,46
2017,CA-527,54
2017,CA-529,*
2017,CA-530,*
2017,CA-531,29
2017,CA-600,4711
2017,CA-601,2556
2017,CA-602,762
2017,CA-603,271
2017,CA-604,231
2017,CA-606,787
2017,CA-607,48
2017,CA-608,612
2017,CA-609,550
2017,CA-611,149
2017,CA-612,17
2017,CA-613,*
2017,CA-614,195
2018,All,17174
2018,CA-500,977
2018,CA-501,650
2018,CA-502,522
2018,CA-503,919
2018,CA-504,221
2018,CA-505,446
2018,CA-506,259
2018,CA-507,79
2018,CA-508,261
2018,CA-509,60
2018,CA-510,254
2018,CA-511,355
2018,CA-512,299
2018,CA-513,180
2018,CA-514,507
2018,CA-515,99
2018,CA-516,67
2018,CA-517,63
2018,CA-518,153
2018,CA-519,130
2018,CA-520,90
2018,CA-521,28
2018,CA-522,146
2018,CA-523,*
2018,CA-524,*
2018,CA-525,28
2018,CA-526,53
2018,CA-527,32
2018,CA-529,*
2018,CA-530,*
2018,CA-531,48
2018,CA-600,4698
2018,CA-601,3009
2018,CA-602,752
2018,CA-603,274
2018,CA-604,300
2018,CA-606,826
2018,CA-607,48
2018,CA-608,633
2018,CA-609,439
2018,CA-611,127
2018,CA-612,13
2018,CA-613,21
2018,CA-614,186
2019,All,17281
2019,CA-500,1042
2019,CA-501,753
2019,CA-502,538
2019,CA-503,915
2019,CA-504,232
2019,CA-505,494
2019,CA-506,254
2019,CA-507,62
2019,CA-508,218
2019,CA-509,46
2019,CA-510,271
2019,CA-511,353
2019,CA-512,292
2019,CA-513,176
2019,CA-514,437
2019,CA-515,103
2019,CA-516,131
2019,CA-517,70
2019,CA-518,198
2019,CA-519,184
2019,CA-520,103
2019,CA-521,37
2019,CA-522,169
2019,CA-523,*
2019,CA-524,*
2019,CA-525,26
2019,CA-526,39
2019,CA-527,33
2019,CA-529,*
2019,CA-530,11
2019,CA-531,52
2019,CA-600,4558
2019,CA-601,2953
2019,CA-602,745
2019,CA-603,295
2019,CA-604,275
2019,CA-606,793
2019,CA-607,42
2019,CA-608,559
2019,CA-609,522
2019,CA-611,154
2019,CA-612,13
2019,CA-613,19
2019,CA-614,172
2020,All,16500
2020,CA-500,870
2020,CA-501,790
2020,CA-502,641
2020,CA-503,928
2020,CA-504,177
2020,CA-505,373
2020,CA-506,266
2020,CA-507,50
2020,CA-508,199
2020,CA-509,56
2020,CA-510,211
2020,CA-511,257
2020,CA-512,270
2020,CA-513,164
2020,CA-514,443
2020,CA-515,117
2020,CA-516,193
2020,CA-517,55
2020,CA-518,191
2020,CA-519,155
2020,CA-520,96
2020,CA-521,77
2020,CA-522,152
2020,CA-523,15
2020,CA-524,27
2020,CA-525,36
2020,CA-526,50
2020,CA-527,28
2020,CA-529,*
2020,CA-530,*
2020,CA-531,35
2020,CA-600,4380
2020,CA-601,2545
2020,CA-602,845
2020,CA-603,262
2020,CA-604,251
2020,CA-606,706
2020,CA-607,33
2020,CA-608,552
2020,CA-609,563
2020,CA-611,192
2020,CA-612,14
2020,CA-613,42
2020,CA-614,145
2021,All,15389
2021,CA-500,757
2021,CA-501,788
2021,CA-502,562
2021,CA-503,972
2021,CA-504,170
2021,CA-505,329
2021,CA-506,248
2021,CA-507,72
2021,CA-508,189
2021,CA-509,76
2021,CA-510,218
2021,CA-511,269
2021,CA-512,252
2021,CA-513,159
2021,CA-514,510
2021,CA-515,131
2021,CA-516,227
2021,CA-517,36
2021,CA-518,201
2021,CA-519,138
2021,CA-520,126
2021,CA-521,60
2021,CA-522,133
2021,CA-523,29
2021,CA-524,105
2021,CA-525,39
2021,CA-526,45
2021,CA-527,19
2021,CA-529,23
2021,CA-530,*
2021,CA-531,48
2021,CA-600,4123
2021,CA-601,2172
2021,CA-602,682
2021,CA-603,261
2021,CA-604,278
2021,CA-606,599
2021,CA-607,24
2021,CA-608,395
2021,CA-609,450
2021,CA-611,165
2021,CA-612,20
2021,CA-613,46
2021,CA-614,152
2022,All,15594
2022,CA-500,758
2022,CA-501,801
2022,CA-502,633
2022,CA-503,879
2022,CA-504,153
2022,CA-505,364
2022,CA-506,259
2022,CA-507,68
2022,CA-508,169
2022,CA-509,70
2022,CA-510,265
2022,CA-511,345
2022,CA-512,243
2022,CA-513,149
2022,CA-514,583
2022,CA-515,133
2022,CA-516,281
2022,CA-517,35
2022,CA-518,204
2022,CA-519,198
2022,CA-520,104
2022,CA-521,37
2022,CA-522,170
2022,CA-523,26
2022,CA-524,85
2022,CA-525,43
2022,CA-526,52
2022,CA-527,39
2022,CA-529,16
2022,CA-530,*
2022,CA-531,56
2022,CA-600,3998
2022,CA-601,2163
2022,CA-602,654
2022,CA-603,299
2022,CA-604,259
2022,CA-606,595
2022,CA-607,30
2022,CA-608,451
2022,CA-609,476
2022,CA-611,202
2022,CA-612,21
2022,CA-613,44
2022,CA-614,145
2023,All,16165
2023,CA-500,711
2023,CA-501,761
2023,CA-502,652
2023,CA-503,884
2023,CA-504,147
2023,CA-505,390
2023,CA-506,261
2023,CA-507,65
2023,CA-508,200
2023,CA-509,64
2023,CA-510,206
2023,CA-511,324
2023,CA-512,261
2023,CA-513,183
2023,CA-514,606
2023,CA-515,134
2023,CA-516,220
2023,CA-517,31
2023,CA-518,196
2023,CA-519,230
2023,CA-520,86
2023,CA-521,33
2023,CA-522,150
2023,CA-523,20
2023,CA-524,89
2023,CA-525,48
2023,CA-526,57
2023,CA-527,24
2023,CA-529,25
2023,CA-530,*
2023,CA-531,50
2023,CA-600,4403
2023,CA-601,2198
2023,CA-602,705
2023,CA-603,330
2023,CA-604,281
2023,CA-606,741
2023,CA-607,43
2023,CA-608,492
2023,CA-609,427
2023,CA-611,192
2023,CA-612,18
2023,CA-613,44
2023,CA-614,168
2024,All,15814
2024,CA-500,574
2024,CA-501,695
2024,CA-502,692
2024,CA-503,931
2024,CA-504,166
2024,CA-505,382
2024,CA-506,269
2024,CA-507,52
2024,CA-508,210
2024,CA-509,49
2024,CA-510,139
2024,CA-511,307
2024,CA-512,253
2024,CA-513,187
2024,CA-514,524
2024,CA-515,119
2024,CA-516,166
2024,CA-517,37
2024,CA-518,189
2024,CA-519,235
2024,CA-520,82
2024,CA-521,28
2024,CA-522,149
2024,CA-523,*
2024,CA-524,86
2024,CA-525,61
2024,CA-526,60
2024,CA-527,21
2024,CA-529,15
2024,CA-530,*
2024,CA-531,42
2024,CA-600,4781
2024,CA-601,2037
2024,CA-602,689
2024,CA-603,249
2024,CA-604,244
2024,CA-606,720
2024,CA-607,30
2024,CA-608,503
2024,CA-609,337
2024,CA-611,201
2024,CA-612,13
2024,CA-613,45
2024,CA-614,151
